house_id,rooms,bathrooms,area_m2,description,image_url,location_id,seller_id
19,6.0,4.0,100.0,vente de villa R+2 et terrasse aménagée villa toute neuve vers le rond point Jvc,,14,12
20,1.0,,,"Votre agence immobilière Keur-Immo vous propose à la vente à Popenguine en bord de plage. Jolie petite maisonnette de 1 chambre ,salon ,salle d'eau et kitchenette. Possibilité de faire des chambres supplémentaires. La situation de cette villa avec vu sur les falaises de Popenguine et absolument fabuleuse ,on ne se lasse pas de la magnifique vue.",,15,8
21,4.0,3.0,241.0,Villa angle R +1 à vendre angle de quatre chambres salon sur route goudronnée commercial à Petit Mbao cité PROMOCAP superficie 241 mètres carrés titre foncier,,2,13
22,3.0,,,c'est la villa f4 bâtie sur 150 m carrés. le style f4 est fait pour abriter le modèle standard de la famille sénégalaise. Devenez propriétaire avec cette villa d'un bien construit selon des normes de qualité et un niveau de finition élevé avec toutes les commodités du logement clé en main très accessible (à 30 mn du centre ville par l'autoroute). Possibilité d'alléger le mode de paiement.,,9,14
23,,,262.0,Je vend ma maison à Liberte 2 en face du stadium marius ndiaye 269 m2 Merci de me contacter pour plus d'informations,,14,15
24,4.0,2.0,150.0,"Vous avez un bien immobilier ? Nous le valorisons. Vous vendez votre bien immobilier ? Voici nous avons déjà une base de clientèle disponible en attente d'opportunités Immobilière. À présent,regardez ce bien qu'un bailleur nous demande de mettre sur le marché pour vous: villa d'angle à démolir de 150m². Titre foncier individuel. À un jet de pierres du ronds points sicap mbao(plus précisément dans la cité OUSMANE FALL;en face de la société de raffinage du Sénégal (SAR). Pour vous mes clients qui cherchent le calme et la sécurité mais aussi l'accessibilité facile,ce produit est idéale pour vous. NB: Nous confier vos biens immobiliers ; c'est les vendre le plus rapidement possible. PROBAT IMMOBILIER, c'est l'immobilier autrement .",,16,10
25,6.0,,,"Vous cherchez une vaste villa? Nous en avons pour vous. Une villa double angle. Elle se trouve à ZAC mbao, très accessible et mesure 250m². Elle comprend 2ch-salon-cuis-toil-1sdb-3magasins-1esp fam-+1grande cour arrière. Villa en finition (finie à 95%) . titre foncier global.",,17,10
26,5.0,2.0,150.0,"Vos biens immobiliers,nous vous les valorisons vite fait bien fait. Nous les confier, c'est nous rejoindre dans notre domaine de prédilection. Voici à présent,un bailleur qui,dans le but de récupérer juste son investissement sans intérêt ; met en vente son villa inachevée très accessible à petit mbao. En voici les caractéristiques : 150m²- Bail- 2appartements(un studio complet+un appart de 2ch- salon-1sdb-1 toile vis). Un bâtiment à 3fosses sceptiques,bien fait.",,2,10
27,7.0,4.0,150.0,A vendre une maison avec une belle architecture à la cite douane golf non loin de la extention vdn3 vu sur mer 3 eme postion,,18,16
28,4.0,4.0,300.0,"Idéalement située dans un secteur calme et résidentiel des maristes, à environ 200 mètres de l’école japonaise, la villa est de type R+1 bâtie sur un terrain de 300 m2. Avec plusieurs espaces verts (gazons, fleurs) ainsi qu’une d’une terrasse, la villa se compose au rez de chaussée d’un salon, d’une salle à manger, d’un office de service, d’une grande cuisine équipée, et d’une chambre. A l’étage, il y a une suite parentale (Salon privé, dressing, chambre et salle de bain) et deux chambres secondaires avec leurs salles de bains. Titre de propriété : Titre foncier individuel.",,19,17
29,4.0,4.0,560.0,"Grande villa de style duplex avec une superficie de 560 m2 composée d’un salon, d’un séjour, d’une cuisine entièrement équipée, de 4 chambres avec dressings et SDB, de grandes terrasses aménagées et de jardins. La villa est située dans la résidence le récif qui est un cadre de vie exceptionnel sur la petite côte non loin du club Golf de Saly, en première position de la mer avec une des plus belles plages aménagées de Saly portudal, la résidence dispose d'espaces verts, d'une grande piscine et d'une cascade.",,20,17
30,1.0,1.0,1.212,"Nous vous proposons sur Fann Residence vers DHL et le bloc des médecins très bien placé et idéal pour projet d’envergure,une villa d’angle à démolir faisant 1212m2 titre foncier à un prix très intéressant.merci de nous contacter pour plus d’infos Plan et vidéo du bien disponible",,21,18
31,4.0,2.0,150.0,"vends une villa r+1 à zac mbao cité capec très accessible composée d 2 chambres 1 salon 1 magasin sdb , cuisine espace familial et au 1é étage 2 chambres 1 salon sdb cuisine toilette extérieur espace familial .surface 150 m² papier TF individuel",,12,2
32,,,,Belle villa R+2 à vendre aux mamelles ouakam côté monument de la Renaissance : 02 appartements F4 + un duplex Page Facebook :Habitat square Immobilier,,22,19
33,13.0,7.0,175.0,"Sûrement, vous avez encore rêvé immobilier ; et sûrement vous avez dit ""PROBAT"" à votre réveil. Et bien ça s'est réalisé: nous vous proposons une maison R+1 terminée à 90%(toutes installations+crépissage des murs)de titre foncier global enregistré dans les annales des impôts et domaines. Le produit se trouve à la ZAC de mbao,non loin de l'autoroute à péage et des deux voies menant à SEDIMA . En forme trapèze, le produit mesure 175m², R+1 contenant 4appartements :2 de 3chambres -salon et tout ce qui va avec,1 de 2chambres -salon et un studio duplex en haut. Valeur locative estimative:700 voire 800.000f mensuel. Qui dit mieux? Finalisons waye.",,2,10
34,7.0,5.0,160.0,"Vous avez encore rêvé immobilier? N'oubliez pas de dire:PROBAT à votre réveil.Voici une très jolie villa R+1 sur les deux voies aller et retour reliant Keur massar à l'autoroute à péage et la société SEDIMA qu'un bailleur nous a donné pour vous proposer. Très accessible ; bail en cours ;7pieces au total. Construction terminée en fin décembre 2019. Villa neuve,avec une architecture bien réfléchie. Au RDC: Nous avons: 1grand salon; 1chambre des parents avec sdb;1 garage:2courettes avant et arrière ;1grand espace familial ;1cuisine;et 1toilette visiteurs. Au 1er étage : 3chambres avec chacune sa douche intérieure+1grand salon. À la Terrasse avec vue sur les deux voies: 1 imposant et important appareil rayons solaires d'une grande puissance pouvant alimenter beaucoup d'appareils ménagers. NB: les bons produits moins chers sont chez votre aimable serviteur PROBAT IMMOBILIER",,3,10
35,4.0,2.0,240.0,"Bonjour mes chers clients de PROBAT IMMOBILIER. Pour vous qui me demandez des opportunités dans la zone de mbour ou Saly,nous vous proposons cette vaste villa de 240m² à Mbour quartier ONCAD. Elle est très accessible et est à 20 mètres de la route nationale. Elle comprend :3chambres dont deux avec salle de bain+1toilette visiteurs-1grand salon-une boutique-une garage-1Espace famillale-. Nature juridique :Acte administratif. Elle présente trois façades avec double angle. Une véritable opportunité à ne pas manquer. NB: confiez nous vos biens immobiliers ; nous avons des clients qui attendent",,4,10
36,18.0,10.0,250.0,"PROBAT IMMOBILIER, l'immobilier autrement. Confiez nous vos biens immobiliers,nous avons une longue liste de clients qui attendent. A présent,voici ce bijoux immobilier qu'un gentil bailleur met sur le marché à travers votre Fidel et aimable serviteur: Un immeuble R+3 avec un appartement sous-terrain,en 2é position sur la VDN 3 au niveau de Camberéne. Avec un titre foncier, l'imposant immeuble construit sur plus de 250m² contient à chaque niveau un appart de 4chambres -salon- cuisine-2sdb-une toilette visiteur-1espace familial avec vue sur mer à la terrasse sans oublier un studios chambre-salon- au sous sol. À à peine 25 ou 30m des deux voies aller et retour de la VDN3 corniche,tous les niveaux de l'immeuble sont indépendants avec une seule entrée et la valeur locative estimée à 900.000f/mois. NB: avec probat immobilier ;mettez vos sous là où vous êtes sûr d'avoir un retour sur investissement. Alors à vos chéquiers-prêts-signez",,23,10
37,7.0,2.0,203.0,"Ne renoncez pas au droit de rêver immobilier car probat immobilier est à vos côtés.Ceux qui veulent vendre leurs bien immobiliers; probat immo dispose déjà d'une base de clientèle déjà en attente et la liste est explosive. Voici à présent,ce bon produit que nous vous proposons à vendre dans la populeuse et populaire cité millionnaire de grand yoff. La maison est vaste de 203m². Bail global est sa nature juridique. Elle comporte 7chambres individuels qui rapportent 50.000f x7 mensuellement. Elle est très accessible. Idéale pour érriger un imposant immeuble dans ce quartier populaire où les demandent en location sont 10fois supérieures aux offres. Nb: probat immobilier, c'est l'immobilier autrement",,24,10
38,10.0,2.0,150.0,"Où sont mes clients qui me demandent sans cesse de leur trouver une jolie villa R+1 générant immédiatement des revenus mensuels ? Voici ce qu'un bailleur m'a confié à mettre sur le marché pour vous: Lieu:Keur Massar derrière l'hôpital et la gendarmerie. Villa R+1 de150m² à 300m de la route principale ; très accessible.. Papier SN HLM. Chaque niveau 4chambres-salon-1sdb-1toi.visiteur-1cuisine avec des apparts séparés. Villa très très récente. Prix :55.000.000f. NB: Achetez le matin;commencez à encaissez le loyer le soir. Qui dit mieux ?NB:(pour des bailleurs qui ont des bien immobiliers à mettre sûr le marché ; veuillez nous contacter). PROBAT IMMOBILIER, C'EST L'IMMOBILIER AUTREMENT",,3,10
39,,,300.0,Immeuble R+3 TF à vendre à la cité keur gorgui.,,25,19
40,3.0,2.0,150.0,Nous mettons en vente des villas avec Titre Foncier à la cité CDC située tout juste à l'entrée de bambilor en bordure de route. A 30mn du centre ville de Dakar par l'autoroute à péage et par le prolongement de la VDN et à 10mn du Lac Rose. Cette nouvelle cité disposant de toutes les commodités vous offre des logements de type F3 sur 150 m² en CRÉDIT DIRECT ou LOCATIONVENTE . Veuillez me contacter pour plus d'informations .,,11,14
41,3.0,,1.1,"Votre agence immobilière Keur-Immo vous propose à la vente à Mbodiene en première ligne Lagune . Jolie petite villa idéalement situés sur un terrain de 1100 m2. Elle se compose de 2 chambres salon ,1 salle d'eau . Sur le terrain vous trouverez aussi un studio comprenant un coin salon cuisine et une chambre avec salle d'eau. Cabanon pouvant servir de chambre. Vous aimez le calme ,la quiétude et les oiseaux. Venez vite découvrir!!",,26,8
42,,,,Mame diarra bousso immobilier met à votre disposition une villa à vendre à ngor très spacieux avec un cadre somptueux pour plus d'informations veuillez nous contacter,,10,20
43,5.0,4.0,300.0,"Nous vous proposons une belle villa qui se trouve Thiès, près du péage et derrière le stade. C'est une Villa R+2 avec piscine neuve jamais habitée à, Fayu délibération en tout .5 chambres 4 toilettes 2salons plus studio au 2eme. Elle n'attend que vous.",,27,21
44,4.0,,450.0,"Votre agence immobilière Keur-Immo vous propose à la vente à Saly Niakh Niakhal. Villa en R+1 de 4 chambres avec salle d'eau, 2 salons ,2 cuisines. Piscine. Le tout sur une terrain de 450 m2.",,7,8
45,5.0,6.0,350.0,Je mets en vente ma villa deja équipée sise a ZAC MBAO.,,2,22
46,5.0,4.0,550.0,"Grande villa de 420m² habitable plus130 m² de dépendances sur un beau terrain de 1868m² en bord de route, arboré, clos de mur et sécurisé. Grande piscine de 15m par 6 avec petit bain pour les enfants. Quartier calme, résidentiel, voisinage de qualité. Possibilité de location vente par acte notarier avec apport de 40% minimum. Pas de courtier ou d'intermédiaire, renseignements par Email uniquement.",,28,23
47,5.0,4.0,260.0,"Belle villa R+2 a vendre a la cité keur gorgui , quartier résidentiel, le plus convoité , titre foncier ,5 chambres , 2 salons , 4 salle de bains , 2 cuisine , balcon, cour ,garage , superficie 260m2 , contacter moi pour une bonne affaire",,29,24
48,,,3.3,Propriétaire dans l'urgence cède sa maison à Saint Louis 3300 mètres carrés à keur Barka c ( Ngandiole ) à 5 mn du nouveau port de Saint Louis.,,30,13
49,,,,Belle villa R+1 à vendre ouest foire vdn très accessible : Rdc : 03Chambres+salon+cuisine 1ér étage : 03chambres+salon+cuisine Page Facebook :Habitat square Immobilier,,31,19
50,6.0,6.0,150.0,"Nous mettons en vente une magnifique villa (R+2) à liberté 6. Une construction récente (2019). 6 chambres avec une salle de bain dans chacune, 2 salons, 2 cuisines, une toilette visiteur, un garage et une terrasse bien aménagée. Vendue avec les meubles. TF individuel. Ouverts à la négociation. Annonce adressée aux acheteurs.",,32,25
51,,,,"LIBERTÉ 6 Nous mettons en vente une magnifique villa (R+2) à liberté 6. Une construction récente (2019). 6 chambres avec une salle de bain dans chacune, 2 salons, 2 cuisines, une toilette visiteur, un garage et une terrasse bien aménagée. Vendue avec les meubles. TF individuel.",,32,26
52,5.0,6.0,300.0,À vendre une superbe villa à l’angle de 300 m2 sur 220m2 surface bâtie construite sur 2 niveaux à Hann Marinas avec piscine et un bout de jardin dans un cadre résidentiel et accueillant à 300.Millions de FCFA TF,,33,12
53,,1.0,102.0,Nous vous proposons à la sicap baobab une villa basse à démolir très bien placée et idéale pour projet immobilier faisant 102m2 avec double façade(avant sur route secondaire et arrière sur ruelle) titre foncier individuel à un prix très intéressant. NB: le prix affiché est négociable Plan et état de droit réel disponibles,,34,18
54,3.0,3.0,150.0,Nous vous proposons une magnifique villa bâti sur un terrain de 150m2 en 2ème position. Elle est composée: Au Rdc d'un salon et d'une cuisine Au 1er de 3 chambres dont deux avec salle d'eau.,,2,27
55,4.0,2.0,150.0,"A vendre maison R+1 sis aux parcelles assainies unité 17 composé de 4chambres , cuisine et toilettes publique en haut et en bas + espace familiale",,35,16
56,11.0,4.0,1.0,"Superbe villa de 1000 m2 R+1 à Bambilor. 11 pièces, dépendances, arbres fruitiers.",,11,28
57,,,250.0,"Villa de type F5 à vendre à la cité CDC de bambilor c’est une spacieuse demeure de 250m2 de superficie bâtie sur deux niveaux reliés par un escalier moderne. Cette maison est grande lumineuse aérée et bien distribuée dotée d’un jardin,d’un garage, d’un patio , d’un espace familial, la F5 est le fleuron du projet Immobillier cdc bambilor elle offr un niveau de confort et de qualité qui na rien à envier à celui des villas des quartiers résidences MODALITÉS DE PAYEMENT F5 250m2 en R+1: A: au comptant à 54.900.000/ht B: par crédit direct à 54.900.000/ht apport 15% à 30% et le reliquat sur 12 a 36 mois D: par vefa sous forme d’appel de fond suivant l’état de l’avancement des travaux Frais de dossier :200 000",,11,29
58,,,,"Vente des villa en construction F3 et F4 en crédit direct à la cité CDC de bambilor F3 (2 chambre salon,cuisine , toilettes parking garage) parking n Rez de chaussée) a 18.900.000/ht Apport:30% et le reliquat sur 2ans ou 3ans F4 (3chambre salon cuisine des 2 toilettes parking garage en Rez de chaussée) à 21.900.000/ht Apport: 30% et le reliquat sur 2ans ou 3ans Possibilité de rajouter un étage sur le fondement Il est difficile de croire qu’on peut acquérir , à 30mn de Dakar par l’autoroute et 10mn de lac rose une villa qu’on va vous remettre bien construite dans une belle cité disposant de toute les commodité.",,11,29
59,,,600.0,Immeuble à vendre aux almadies avec un bon apport locatif.,,36,13
60,,,150.0,Location vente f3 à la cité CDC Bambilor. Des villas F3 150 m² TF à Bambilor avec la possibilité de donner un acompte de 50% le reste sur location vente sur 4 ans. Possibilité encore de payer un acompte de 30% aussi le reste sur 4 ans.,,11,29
61,3.0,3.0,150.0,Villa R+1 150 m2 à Grand Mbao à vendre 03 chambres 02 salons 02 cuisines Cour et garage,,2,30
62,,,,"Villa à achever à coté de cité Comico Bambilor prés de la gendarmerie et a 5 mn de la mairie. Avec 3 chambre, 2 sdb, salon...IL reste que le coulage et la finition. Zone entièrement habitée avec eau et électricité",,11,31
63,2.0,,,C'est une villa F3 de 150 mètres carrés. Une villa clé en main dans une belle cité disposant de toutes les commodités tout en bénéficiant d'un environnement paisible et aéré pour un coût adorable. A 30 minutes du centre ville. Possibilité d’alléger le mode paiement.,,9,14
64,,,360.0,"Maison à vendre. 360m2. -6 boutiques au RDC -2 appartements au 1er Étage -Fondations R+3 -Titre foncier un seul propriétaire -Angle, en face de l'école des parcelles assainies -parfait pour entreposage",,27,32
65,6.0,,,"Vos bien immobiliers, nous avons toujours le professionnalisme de vous les valoriser. Vous vendez un bien immobilier ? Nous avons toujours une liste des clients qui attendent. Voici à présent cette récente villa de R+1 construite en 2014 et qui génère 500.000f CFA de location mensuelle que nous vous proposons. Vous achetez le matin et vous commencez à encaisser vos loyers le soir. Elle mesure 180m²,se trouve en deuxième position à 20mètres de la route principale (très accessible) et non loin de la mairie et du terminus des bus. Elle contient 4apparts de 2ch-sal-sdb-toil vis-cuis. Une véritable opportunité d'investissement.",,17,10
66,,,350.0,⭐ Visite virtuelle disponible sur demande⭐,,36,8
67,,,,"Votre agence Keur Immo vous propose à la location ou à la vente à la somone à 200m de la lagune, 2 villas de conception unique,originales et conçues avec des materiaux de qualitè. Ces maisons sont vendues,meublèes et completement équipées avec un mobilier fait sur mesure. Elles se composent de 4 chambres avec chacune leur salle d'eau et une baignoire encastrèe dans la suite parentale. Isolation thermique et phonique (BA 13et avec laine de verre, faux plafond,doublage et cloison, double vitrage). La piece principale propose un open space de 120m2 avec cuisine americaine toute équipée donnant sur le salon et la salle à manger. Les annexes des villas sont composées pour chacune: d'une piscine à debordement avec pompe solaire, d'un pool house avec cuisine d'ete et bar, d'une buanderie,une salle d'eau ainsi qu'un double garage motorisè de 50m2 . Equipements: climatisation dual inverter, camèras,vidèosurveillance ,vidèophone,portail et garage à ouverture automatique,pompe solaire, onduleur secour et batterie... La première Villa fait 370 m2 dont 220 habitable sur un terrain de 1335 m2. La seconde est sur un terrain de 1065 m2 ?Prix :360 Millions pour la première 340 Millions pour la seconde",,37,8
68,,,,⭐La visite virtuelle de cette villa est sur demande ⭐,,37,8
69,,,2.873,"Votre agence Keur immo vous propose à la vente, une villa d'exception située à Somone canda . Situé sur un terrain de 2873m2 ce petit bijou de 292 m2 habitable saura vous surprendre par la qualité de ces matériaux,la luminosité et le soucis des détails. Vous trouverez en rez-de-chaussée un grand salon séjour avec cuisine ouverte, le tout donnant sur la piscine et une terrasse de 80 m2 Vous y trouverez aussi une première chambre avec salle d'eau et dressing. Au premier étage se trouve une mezzanine, 2 chambres avec salle d'eau et dressing ainsi qu'une terrasse de 57 m2 donnant sur le jardin et la piscine. Sur le toit-terrasse vous aurez une vue panoramique sur la Somone, l'océan et même les falaises de Popenguine. Le jardin a été conçu avec goût et professionnalisme. Un véritable jardin d'Eden, luxuriant, rempli d'arbres fruitier de toute sorte.",,37,8
70,3.0,,2.873,"Votre agence Keur immo vous propose à la vente, une villa d'exception située à Somone Canda . Situé sur un terrain de 2873m2 ce petit bijou de 292 m2 habitable saura vous surprendre par la qualité de ces matériaux,la luminosité et le soucis des détails. Vous trouverez en rez-de-chaussée un grand salon séjour avec cuisine ouverte, le tout donnant sur la piscine et une terrasse de 80 m2 Vous y trouverez aussi une première chambre avec salle d'eau et dressing. Au premier étage se trouve une mezzanine, 2 chambres avec salle d'eau et dressing ainsi qu'une terrasse de 57 m2 donnant sur le jardin et la piscine. Sur le toit-terrasse vous aurez une vue panoramique sur la Somone, l'océan et même les falaises de Popenguine. Le jardin a été conçu avec goût et professionnalisme. Un véritable jardin d'Eden, luxuriant, rempli d'arbres fruitier de toute sorte.",,37,8
71,7.0,4.0,150.0,"Vous avez un bien immobilier ? Nous le valorisons. Vous vendez? Nous avons des clients. Confiez nous vos bien immobiliers ; nous avons des clients en attente. Pour mes clients qui me demandent une villa déjà prête à exploiter;générant immédiatement des revenus en location; voici un bailleur vient de nous confier cette jolie villa R+1 de 150 m² et de 7chambres;2cuisines et 4toilettes +1 espace familial occupée par des locataires et générant 350.000f/mensuel à keur mbaye fall-grand mbao Non loin de la route nationale,la villa a quatre(4)ans d'existence. Nature juridique : ACTE ADMINISTRATIVE. Prix :40.000.000f.NB: avec probat immobilier,réalisez toujours les meilleurs investissements immobiliers.",,2,10
72,5.0,,,"Une villa à 15min de Dakar?Nous en avons pour vous. À l'arrêt de sicap diacksao,non loin de l'usine de matelas et juste derrière le poste de santé en face de l'échangeur,nous vous proposons une grande et vaste villa d'angle de 194m²,titre foncier de 4ch-sal-cuis-toil-1sdb plus 1grande cour centrale dans le quartier appelée wakhinane diacksao,à 100m de la Nationale N1,et à 3min de l'autoroute à péage par poste thiaroye. Qui dit mieux encore?",,17,10
73,5.0,5.0,160.0,MAISON NEUVE A VENDRE ZAK MABAO CITE ASSURANCE AVEC TF. HABITABLE TOUTE DE SUITE.,,2,33
74,2.0,2.0,350.0,2 chambres salon 350 m2 délibération tivaoune peulh zone habitée à 16 millions,,38,34
75,,,,Je vends cette immeuble à Maristes composé de 9 appartements de 2 chambres salons et un studio et 2 magasins placé en 1ere position. R +4 superficie 188m2 . TF individuel,,39,35
76,10.0,6.0,150.0,"Jolie immeuble r+3 sis à liberté 6 cité cse ,structuré au rdc :un grand magasin (open Space bureau) Rdc et 1er étage :duplex de 3ch ,salon ,cuisine ,chambre bonne,. au 2ème étage :un appartement à finir . au 3em :la terrasse possible de mettre un autre appartement. Nb:les papier :Tf global (coopératif cité cse).toutes les finitions aussisont à la charge du vendeur . L’immeuble peut supporter 4 étages. Pour plus d’infos,nous consulter.",,32,36
77,,1.0,150.0,Bonsoir je vous propose une villa comprenant 2magasins et 1 toilettes à vendre. Bordure de route Commercial. Accessible,,9,37
78,3.0,1.0,200.0,"Villa de 3 chambres salon, salle de bain, toilette extérieure, 2 cours à keur massar Unité 11 non loin de l'hôpital de keur massar et de la brigade de gendarmerie Nouveau cité calme et accessible Papier: Titre Sn Hlm Prix négociable",,3,38
79,3.0,3.0,565.0,"Charmante villa de 565 m2 situé à Ndayane à quelques mètres de la mer avec une grande piscine, un jardin, une bonne verdure et des terrasses aménagées. La villa a un style architectural offrant des volumes impressionnants dans toutes les pièces et assez de lumière de façon générale. Fournie avec tout le mobilier, la villa est composée d’un salon, d’un séjour, d’une cuisine entièrement équipée, d’un aquarium, de 3 chambres avec dressings et SDB, d’un garage et d’une dépendance du gardien.",,15,17
80,,,200.0,Immeuble R+4 à vendre Zone de captage : Surface : 200m2 Bail Rdc : 01appartement F4 +magasin 1ér etage au 4ieme étage : studios+appartement F4 Apport locatif mensuel : 1.300.000 FCFA / Mois Page Facebook :Habitat square Immobilier,,40,19
81,2.0,1.0,150.0,"Vente d'une Villa de type F3 sur 150 m² avec Titre Foncier à la cité CDC située tout juste à l'entrée de Bambilor en bordure de route. A 30mn du centre ville de Dakar par l'autoroute à péage et par le prolongement de la VDN et à 10mn du Lac Rose. Cette nouvelle cité disposant de toutes les commodités , sécurité, mosquée, ... , cité déjà habitée. Veuillez me contacter pour plus d'informations .",,14,39
82,,,1.2,Votre agence immobilière Keur-Immo vous propose à la vente à la Somone. Propriété à entièrement retaper ou à raser en première ligne Mer. Terrain de 1200m2.,,37,8
83,3.0,3.0,241.0,Villa angle sur route goudronnée à Petit Mbao cité PROMOCAP superficie 241 mètres carrés titre foncier,,2,13
84,4.0,3.0,240.0,"bonjour, Je vends une maison neuve de 240 m2 habitable compris terrasses couvertes… Très belle réalisation , parpaings de 20 pour une isolation phonique et thermique. Espace de ventilation entre chaque niveau de 30 cm afin d'être en permanence au frais...Piscine 12x3 alimentation panneaux solaires et puit pour l'eau. Réserve d'eau de 2000 l avec compresseur pour avoir toujours de l'eau sous pression.Chauffe eau solaire de qualité européenne. CLIM PARTOUT. MAISON TERMINEE le 1er février 2022.",,20,40
